time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2049, 2000, 9.720459, 0.497994, -3.141193, -0.017054, 0.101256, 0.001332, 32.868237
2059, 1876, 9.744401, 0.509965, -3.105280, -0.017054, 0.094861, 0.003997, 32.871178
2069, 1776, 9.763555, 0.517148, -3.107674, -0.018919, 0.078873, 0.005862, 32.865295
2079, 2795, 9.732430, 0.533907, -3.055001, -0.025580, 0.064217, 0.007461, 32.856472
2089, 4095, 9.679757, 0.526724, -3.074155, -0.033041, 0.060487, 0.005063, 32.880001
2099, 3645, 9.622296, 0.521936, -3.134010, -0.041035, 0.070879, 0.008260, 32.882942
2109, 2234, 9.631873, 0.521936, -3.153164, -0.047164, 0.095394, 0.009859, 32.885883
2119, 1901, 9.694122, 0.531513, -3.232172, -0.049296, 0.114845, 0.003464, 32.871178
2129, 1830, 9.749189, 0.565032, -3.148375, -0.043700, 0.117243, -0.002931, 32.880001
2139, 1822, 9.780313, 0.586579, -2.983175, -0.038904, 0.088732, 0.001865, 32.885883
2149, 1821, 9.722853, 0.617704, -2.861071, -0.041302, 0.061553, 0.016787, 32.874119
2159, 1829, 9.631873, 0.629675, -2.920926, -0.054891, 0.058355, 0.021051, 32.897648
2169, 1808, 9.648633, 0.612916, -2.987964, -0.061286, 0.067415, 0.006928, 32.897648
2179, 1863, 9.744401, 0.567426, -2.892196, -0.042101, 0.052760, -0.012524, 32.891766
2189, 1840, 9.765948, 0.478840, -2.877831, -0.014922, 0.021051, -0.019985, 32.882942
2199, 1851, 9.672575, 0.399832, -3.026271, -0.006928, 0.004796, -0.009859, 32.880001
2209, 1846, 9.677363, 0.354342, -3.193865, -0.019452, 0.003730, 0.008793, 32.880001
2219, 1910, 9.749189, 0.354342, -3.277662, -0.039703, -0.010658, 0.019718, 32.874119
2229, 1886, 9.792285, 0.325611, -3.201048, -0.054358, -0.040769, 0.022916, 32.882942
2239, 1920, 9.761160, 0.342371, -3.035848, -0.054358, -0.051694, 0.028778, 32.894707
2249, 1946, 9.720459, 0.375890, -2.940080, -0.047430, -0.029044, 0.037838, 32.874119
2259, 1978, 9.658210, 0.416591, -2.928109, -0.047963, 0.012790, 0.040502, 32.868237
2269, 1995, 9.643845, 0.476446, -2.899378, -0.051161, 0.043433, 0.034907, 32.885883
2279, 2032, 9.670180, 0.474052, -2.873042, -0.048763, 0.051694, 0.031975, 32.874119
2289, 2054, 9.619903, 0.493206, -2.966416, -0.044766, 0.047697, 0.028245, 32.888824
2299, 2047, 9.514558, 0.500388, -3.033453, -0.047164, 0.043700, 0.020518, 32.897648
2309, 2039, 9.476251, 0.493206, -3.064578, -0.053292, 0.045032, 0.008260, 32.912354
2319, 2002, 9.414001, 0.478840, -3.157952, -0.058888, 0.054358, -0.005329, 32.900589
2329, 1978, 9.404425, 0.466869, -3.239355, -0.060487, 0.069280, -0.012257, 32.903530
2339, 1948, 9.409213, 0.433351, -3.323152, -0.066882, 0.077541, -0.016254, 32.900589
2349, 1922, 9.404425, 0.411803, -3.394978, -0.075942, 0.090597, -0.019185, 32.894707
2418, 1910, 9.416395, 0.641646, -3.732560, -0.076208, 0.181461, 0.069547, 32.888824
2428, 1943, 9.327810, 0.677559, -3.864242, -0.099124, 0.213436, 0.073810, 32.918236
2438, 1905, 9.337387, 0.806846, -3.845088, -0.114046, 0.257136, 0.061020, 32.903530
2448, 1936, 9.473856, 0.871489, -3.715801, -0.111115, 0.261133, 0.038104, 32.903530
2458, 1997, 9.562442, 0.876278, -3.529053, -0.099390, 0.224095, 0.023982, 32.900589
2468, 1921, 9.495404, 0.845153, -3.347094, -0.095127, 0.205976, 0.018386, 32.900589
2478, 1889, 9.459491, 0.746991, -3.136404, -0.104986, 0.233421, 0.013057, 32.912354
2488, 1930, 9.509769, 0.624887, -2.885013, -0.115911, 0.275256, 0.005862, 32.900589
2498, 1894, 9.629479, 0.493206, -2.765303, -0.120175, 0.310695, 0.006928, 32.888824
2508, 1901, 9.765948, 0.407014, -2.669535, -0.119109, 0.332812, 0.016254, 32.885883
2518, 1904, 9.823410, 0.399832, -2.557007, -0.116711, 0.347201, 0.035972, 32.882942
2528, 1893, 9.873688, 0.385466, -2.434903, -0.113513, 0.372248, 0.057289, 32.882942
2538, 1872, 9.945514, 0.428562, -2.240973, -0.116711, 0.388502, 0.072211, 32.888824
2548, 1840, 9.933543, 0.452504, -2.111686, -0.114312, 0.392499, 0.079939, 32.900589
2558, 1870, 9.842564, 0.447716, -2.047042, -0.112181, 0.389835, 0.089531, 32.903530
